spatial_code,region_name,country_code,country_name,location_code,location_name,date,Plastic: Yokes [1],Plastic: Bags [2],Plastic: Small_bags [3],Plastic: Bag_ends [112],Plastic: Drinks [4],Plastic: Cleaner [5],Plastic: Food [6],Plastic: Toiletries [7],Plastic: Oil_small [8],Plastic: Oil_large [9],Plastic: Jerry_cans [10],Plastic: Injection_gun [11],Plastic: Other_bottles [12],Plastic: Crates [13],Plastic: Car_parts [14],Plastic: Caps [15],Plastic: Cigarettelighters [16],Plastic: Pens [17],Plastic: Combs [18],Plastic: Crisp [19],Plastic: Toys [20],Plastic: Cups [21],Plastic: Cutlery [22],Plastic: Fertiliser [23],Plastic: Meshbags [24],Plastic: Gloves [25],Plastic: Gloves_pro [113],Plastic: Lobsterpots [26],Plastic: Fish_tags [114],Plastic: Octopus_pots [27],Plastic: Oyster_nets [28],Plastic: Oyster_trays [29],Plastic: Mussel_sheeting [30],Plastic: Rope [31],Plastic: String [32],Plastic: Fishing_net_small [115],Plastic: Fishing_net_large [116],Plastic: Tangled [33],Plastic: Fishboxes [34],Plastic: Fishing_line [35],Plastic: Light_sticks [36],Plastic: Floats [37],Plastic: Buckets [38],Plastic: Strapping [39],Plastic: Industrial [40],Plastic: Fibre_glass [41],Plastic: Hard_hats [42],Plastic: Shotgun [43],Plastic: Shoes [44],Plastic: Foam_sponge [45],Plastic: Plastic_small [117],Plastic: Plastic_large [46],Plastic: Plastic_vlarge [47],Plastic: Other [48],Rubber: Balloons [49],Rubber: Boots [50],Rubber: Tyres [52],Rubber: Other [53],Cloth: Clothing [54],Cloth: Furnishings [55],Cloth: Sacking [56],Cloth: Shoes [57],Cloth: Other [59],Paper: Bags [60],Paper: Cardboard [61],Paper: Purepak [118],Paper: Tetrapak [62],Paper: Cig_packets [63],Paper: Cig_stubs [64],Paper: Cups [65],Paper: Newspapers [66],Paper: Other [67],Wood: Corks [68],Wood: Pallets [69],Wood: Crates [70],Wood: Lobsterpots [71],Wood: Fish_boxes [119],Wood: Lolly [72],Wood: Brushes [73],Wood: Other_small [74],Wood: Other_large [75],Metal: Aerosol [76],Metal: Caps [77],Metal: Drink [78],Metal: Bbqs [120],Metal: Electrical [79],Metal: Fishing [80],Metal: Foil [81],Metal: Food [82],Metal: Scrap [83],Metal: Oil [84],Metal: Paint_tins [86],Metal: Lobsterpots [87],Metal: Wire [88],Metal: Other_small [89],Metal: Other_large [90],Glass: Bottles [91],Glass: Bulbs [92],Glass: Other [93],Pottery: Construction [94],Pottery: Octopus_pots [95],Pottery: Other [96],San: Condoms [97],San: Buds [98],San: Towels [99],San: Tampons [100],San: Toilet [101],San: Other [102],Med: Containers [103],Med: Syringes [104],Med: Other [105],Faeces: In_bags [121],Survey: Old_rope_small [200],Survey: Old_rope_large [201],Survey: Old_plastic_pieces [202],Survey: Old_gloves [203],Survey: Old_cartons [204],Survey: Old_oildrums_new [205],Survey: Old_oildrums_old [206],Survey: Old_human_faeces [207],Survey: Old_animal_faeces [208],Survey: Old_cloth_rope [210],Survey: Pellets [998]
Bergen,North East Atlantic Ocean,NL,Netherlands,NL001,Bergen,2012-01-27,0,3,9,0,4,1,0,0,0,0,0,0,0,0,0,7,1,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,4,36,16,4,9,0,0,0,0,0,3,6,0,0,0,0,7,28,5,0,0,2,0,1,0,0,0,0,0,1,0,0,0,3,0,0,1,0,0,0,1,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Bergen,North East Atlantic Ocean,NL,Netherlands,NL001,Bergen,2012-04-20,0,8,12,0,3,0,0,1,0,0,0,0,0,0,0,11,0,0,0,16,0,2,2,0,0,0,0,0,0,0,0,0,0,2,48,22,3,15,0,0,0,0,1,6,0,0,0,0,0,12,46,14,0,8,11,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Bergen,North East Atlantic Ocean,NL,Netherlands,NL001,Bergen,2012-07-22,0,1,5,0,2,0,1,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,1,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Bergen,North East Atlantic Ocean,NL,Netherlands,NL001,Bergen,2012-10-19,0,2,4,0,4,0,3,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,10,48,0,11,1,0,0,1,0,2,5,0,0,1,0,0,1,14,0,1,8,0,0,0,0,0,0,2,0,0,0,2,0,0,1,0,0,0,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
Bergen,North East Atlantic Ocean,NL,Netherlands,NL001,Bergen,2013-02-19,0,24,23,13,12,3,3,0,0,0,0,2,0,1,0,39,3,0,0,31,0,4,15,0,3,0,1,0,6,0,1,0,0,0,152,7,0,24,0,0,0,2,0,6,18,0,0,12,0,38,156,74,1,0,23,1,0,0,8,0,0,1,0,0,4,0,2,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes
Bergen,North East Atlantic Ocean,NL,Netherlands,NL001,Bergen,2013-04-11,0,0,9,1,5,0,4,0,0,0,2,1,0,0,0,19,0,0,0,14,0,1,5,0,0,0,0,0,0,0,0,0,1,9,6,88,0,4,0,0,0,0,0,0,5,0,0,0,0,5,8,26,1,0,11,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Bergen,North East Atlantic Ocean,NL,Netherlands,NL001,Bergen,2013-07-20,0,10,4,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,7,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,42,0,7,0,0,0,0,0,1,2,0,0,0,0,3,5,16,0,1,6,0,1,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
Bergen,North East Atlantic Ocean,NL,Netherlands,NL001,Bergen,2013-10-16,0,7,5,1,4,3,6,3,0,0,1,7,0,0,0,18,4,0,0,7,1,1,2,0,1,1,0,0,2,0,3,0,0,30,241,12,18,0,0,0,0,0,1,6,9,0,0,4,0,16,13,24,4,14,38,0,1,0,2,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes
Bergen,North East Atlantic Ocean,NL,Netherlands,NL001,Bergen,2014-01-08,0,9,20,0,1,0,6,1,0,0,0,1,0,0,0,23,0,2,0,43,0,3,3,0,2,1,1,0,0,0,0,0,0,6,154,36,0,0,0,1,1,0,0,8,7,0,0,0,0,9,44,17,0,9,12,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Bergen,North East Atlantic Ocean,NL,Netherlands,NL001,Bergen,2014-04-23,0,10,29,0,4,0,0,2,0,0,0,0,0,0,0,12,1,1,0,11,0,2,11,0,0,0,0,0,0,0,0,0,0,7,94,51,10,8,1,2,0,0,1,0,13,0,1,1,0,9,20,13,1,10,17,0,0,0,1,0,0,0,1,0,0,1,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes
Bergen,North East Atlantic Ocean,NL,Netherlands,NL001,Bergen,2014-07-01,1,12,19,1,7,1,2,0,0,0,1,0,0,0,0,36,0,2,0,32,3,7,7,0,0,0,0,0,0,0,0,0,0,10,158,74,8,4,0,0,0,0,0,2,12,0,0,5,0,22,85,61,0,12,17,0,1,0,5,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,14,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes
Bergen,North East Atlantic Ocean,NL,Netherlands,NL001,Bergen,2014-10-16,0,2,5,0,4,0,4,0,0,0,0,0,1,0,0,15,1,0,0,8,0,1,3,0,2,0,0,0,2,0,0,0,0,6,158,0,0,13,0,0,0,0,0,1,6,0,0,1,1,11,20,27,1,1,31,0,0,1,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes
Bergen,North East Atlantic Ocean,NL,Netherlands,NL001,Bergen,2015-01-06,0,4,14,0,14,1,4,0,0,0,1,0,1,0,0,0,8,0,0,12,0,0,6,0,1,1,0,0,0,0,1,0,0,3,84,1,1,11,0,0,0,0,0,8,10,0,0,2,0,0,17,57,3,3,13,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Bergen,North East Atlantic Ocean,NL,Netherlands,NL001,Bergen,2015-04-22,0,2,8,1,8,1,4,4,0,0,1,0,0,0,0,18,0,0,0,8,0,0,2,0,0,1,0,0,0,0,0,0,0,4,68,1,1,8,0,0,0,0,1,2,2,0,0,0,0,3,23,14,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes
Bergen,North East Atlantic Ocean,NL,Netherlands,NL001,Bergen,2015-07-16,0,0,6,0,2,1,1,0,0,0,0,0,0,0,0,23,0,1,1,8,2,0,3,0,0,0,0,0,1,0,1,0,0,4,65,3,0,15,0,1,0,3,0,1,4,0,0,0,0,7,37,18,0,1,13,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
Bergen,North East Atlantic Ocean,NL,Netherlands,NL001,Bergen,2015-10-29,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,15,3,0,4,0,0,0,0,0,1,6,0,0,1,0,0,8,12,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
Bergen,North East Atlantic Ocean,NL,Netherlands,NL001,Bergen,2015-12-30,0,5,14,0,3,1,0,0,0,0,2,1,3,0,0,16,0,2,0,7,0,0,5,0,0,0,3,0,1,0,0,0,0,3,102,3,2,3,0,0,1,0,0,2,42,0,0,1,0,12,18,19,0,0,14,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,8,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Bergen,North East Atlantic Ocean,NL,Netherlands,NL001,Bergen,2016-04-29,0,2,3,1,6,1,3,0,0,0,0,0,0,0,0,46,5,2,0,14,2,1,12,0,0,2,0,0,3,0,0,0,0,10,72,0,0,5,0,1,0,0,0,5,14,0,0,3,0,0,118,51,0,4,8,0,5,1,0,0,0,0,0,0,1,0,0,0,4,0,0,2,2,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,9,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Yes
Bergen,North East Atlantic Ocean,NL,Netherlands,NL001,Bergen,2016-07-05,0,0,10,0,5,0,4,0,0,0,0,0,0,0,0,21,0,0,0,40,5,5,15,0,2,0,0,0,0,0,0,0,0,5,343,0,0,14,0,0,0,0,0,7,38,0,0,4,3,41,84,49,0,11,0,0,0,0,5,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes
Bergen,North East Atlantic Ocean,NL,Netherlands,NL001,Bergen,2016-10-25,0,1,17,2,4,0,9,0,0,0,0,0,0,0,0,58,3,0,0,41,5,0,20,0,2,1,2,0,0,0,0,0,0,1,318,5,0,9,0,3,0,0,0,6,13,0,0,0,0,46,178,30,0,15,19,0,1,15,1,0,0,0,1,0,0,0,0,0,8,0,0,0,1,0,0,0,0,2,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,2,0,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,Yes
Bergen,North East Atlantic Ocean,NL,Netherlands,NL001,Bergen,2017-02-19,0,3,0,0,2,1,3,0,0,0,0,0,0,0,0,9,0,0,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,1,31,0,0,7,0,0,0,0,0,3,4,0,0,0,1,4,0,13,13,5,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
Bergen,North East Atlantic Ocean,NL,Netherlands,NL001,Bergen,2017-04-28,0,3,24,0,4,0,11,0,0,0,0,0,0,1,0,91,3,0,0,69,4,9,8,0,3,0,7,0,3,0,0,0,0,25,416,143,0,30,0,1,2,0,0,14,30,0,0,15,0,55,80,0,0,1,37,0,1,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,6,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes
Bergen,North East Atlantic Ocean,NL,Netherlands,NL001,Bergen,2017-07-17,0,0,13,0,4,0,2,0,0,0,0,0,0,0,0,16,1,0,0,8,0,0,3,0,1,0,0,0,1,0,0,0,1,3,242,0,0,24,0,2,0,0,0,3,12,0,0,1,0,40,23,22,0,1,13,0,0,3,0,0,0,0,1,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Yes
Bergen,North East Atlantic Ocean,NL,Netherlands,NL001,Bergen,2017-10-11,0,0,5,0,5,0,1,0,0,0,0,0,0,0,0,3,0,0,0,8,0,2,1,0,1,0,0,0,0,0,0,0,0,2,48,3,0,0,0,0,0,0,0,1,5,0,0,1,1,3,6,12,2,5,3,0,0,1,0,0,1,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes
Noordwijk,North East Atlantic Ocean,NL,Netherlands,NL002,Noordwijk,2012-01-19,0,11,19,0,4,0,1,0,0,0,0,0,0,0,0,13,2,0,0,8,0,2,4,0,0,0,2,0,0,0,0,0,0,22,48,92,16,13,2,0,0,0,2,8,11,0,0,1,0,0,68,29,3,11,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
Noordwijk,North East Atlantic Ocean,NL,Netherlands,NL002,Noordwijk,2012-04-19,0,15,7,0,20,3,14,2,1,0,0,0,0,0,0,21,0,0,1,40,2,2,7,0,0,1,0,0,0,0,0,0,0,8,308,21,0,42,0,0,0,1,2,5,5,0,0,2,0,71,71,52,0,7,25,0,1,2,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,5,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
